Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-31T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-31T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500%3Aunits%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2004-11-07,-17.2936001
2004-11-08,-14.5372372
2004-11-09,-14.5961971
2004-11-10,-14.6384945
2004-11-11,-14.7240658
2004-11-12,-14.7986813
2004-11-13,-14.7431698
2004-11-14,-14.7436886
2004-11-15,-14.8177853
2004-11-16,-14.8855038
2004-11-17,-14.925848
2004-11-18,-15.4875851
2004-11-19,-14.8564205
2004-11-20,-14.8394527
2004-11-21,-14.9621944
2004-11-22,-14.9829464
2004-11-23,-15.036047
2004-11-24,-15.059576
2004-11-25,-15.1264095
2004-11-26,-15.1292477
2004-11-27,-15.2278194
2004-11-28,-15.2295589
2004-11-29,-15.2816525
2004-11-30,-15.3602657
2004-12-01,-15.3118038
2004-12-02,-15.2633114
2004-12-03,-15.1882076
2004-12-04,-15.0484982
2004-12-05,-14.9658871
2004-12-06,-14.9863949
2004-12-07,-15.09165
2004-12-08,-15.1233883
2004-12-09,-15.0244808
2004-12-10,-15.0859127
2004-12-11,-15.0926876
2004-12-12,-15.3242855
2004-12-13,-15.2632809
2004-12-14,-15.3604183
2004-12-15,-15.4446163
2004-12-16,-15.4608822
2004-12-17,-15.4120235
2004-12-18,-15.3804684
2004-12-19,-15.3931637
2004-12-20,-15.4105892
2004-12-21,-15.6500607
2004-12-22,-15.367712
2004-12-23,-15.5080929
2004-12-24,-15.541296
2004-12-25,-15.5216122
2004-12-26,-15.5199947
2004-12-27,-15.317358
2004-12-28,-15.1879025
2004-12-29,-14.9403133
2004-12-30,-14.9573421
2004-12-31,-14.7827511
2005-01-01,-14.5937557
2005-01-02,-14.6539669
2005-01-03,-14.7254086
2005-01-04,-14.8283138
2005-01-05,-14.7604427
2005-01-06,-14.8719234
2005-01-07,-14.9780941
2005-01-08,-15.0563412
2005-01-09,-15.1387386
2005-01-10,-15.2369747
2005-01-11,-15.2763424
2005-01-12,-15.3477535
2005-01-13,-15.1676083
2005-01-14,-15.176672
2005-01-15,-15.2214108
2005-01-16,-14.9164181
2005-01-17,-14.8842831
2005-01-18,-14.827795
2005-01-19,-14.9042416
2005-01-20,-15.2032528
2005-01-21,-15.1279354
2005-01-22,-15.1989803
2005-01-23,-15.2474728
2005-01-24,-15.3123837
